metric_name,category,type,unit,series_count,redfish_series_count,inband_series_count,label_names,help
c37_volt_hist_r9_second_total,电压/Voltage,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Voltage histogram range 9 (1042.5-1097mV) counter for core 37
c38_cdyn_level_0_res_microsecond_total,使用量与驻留/Usage & Residency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Cdyn level 0 residency for core 38 during last 2ms measurement
c38_cdyn_level_1_res_microsecond_total,使用量与驻留/Usage & Residency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Cdyn level 1 residency for core 38 during last 2ms measurement
c38_cdyn_level_2_res_microsecond_total,使用量与驻留/Usage & Residency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Cdyn level 2 residency for core 38 during last 2ms measurement
c38_cdyn_level_3_res_microsecond_total,使用量与驻留/Usage & Residency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Cdyn level 3 residency for core 38 during last 2ms measurement
c38_cdyn_level_4_res_microsecond_total,使用量与驻留/Usage & Residency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Cdyn level 4 residency for core 38 during last 2ms measurement
c38_cdyn_level_5_res_microsecond_total,使用量与驻留/Usage & Residency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Cdyn level 5 residency for core 38 during last 2ms measurement
c38_freq_hist_r0_second_total,频率/Frequency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Frequency histogram range 0 (core in C6) counter for core 38
c38_freq_hist_r10_second_total,频率/Frequency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Frequency histogram range 10 (4100-4400MHz) counter for core 38
c38_freq_hist_r11_second_total,频率/Frequency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Frequency histogram range 11 (greater then 4400MHz) counter for core 38
c38_freq_hist_r1_second_total,频率/Frequency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Frequency histogram range 1 (800MHz or less) counter for core 38
c38_freq_hist_r2_second_total,频率/Frequency,counter,,12,6,6,"AccessId,AccessType,CollectionMode,DeviceId,DeviceType,PMTEndpoint,PMTGuid,PMTSizeBytes,RedfishEndpoint,SourceId,SourceType,device,hostname,otel_scope_name,otel_scope_schema_url,otel_scope_version,telem",Frequency histogram range 2 (900-1200MHz) counter for core 38
